Column1,Column2
Complaint_Text,Category
कचरा वेळेवर उचलला जात नाही,Sanitation
रस्त्यावर खड्डे आहेत,Roads
रस्त्यावर खड्डे आहेत,Roads
Route change not informed,Transport
Water pressure is very low,Water
Kachra uthane nahi aa rahe,Sanitation
कचरा वेळेवर उचलला जात नाही,Sanitation
Doctor available nahi hai,Healthcare
Street cleaning not done properly,Sanitation
Kachra uthane nahi aa rahe,Sanitation
Medical emergency response slow,Healthcare
Waste overflowing near building,Sanitation
कचरा वेळेवर उचलला जात नाही,Sanitation
कचरा वेळेवर उचलला जात नाही,Sanitation
Sadak par gaddhe hai,Roads
कचरा वेळेवर उचलला जात नाही,Sanitation
Garbage is not collected regularly,Sanitation
Bijli bar bar ja rahi hai,Electricity
Government hospital lacks cleanliness,Healthcare
Bus late chal rahi hai,Transport
Street cleaning not done properly,Sanitation
Public transport overcrowded,Transport
बस सेवा उशिरा येते,Transport
Water pressure is very low,Water
Bus service is irregular,Transport
Pipeline leakage near my house,Water
Bus service is irregular,Transport
Public transport overcrowded,Transport
Pipeline leakage near my house,Water
Road repair work pending,Roads
माझ्या भागात वीज नाही,Electricity
Road has many potholes,Roads
कचरा वेळेवर उचलला जात नाही,Sanitation
कचरा वेळेवर उचलला जात नाही,Sanitation
Power outage since morning,Electricity
Street damaged after rainfall,Roads
Water pressure is very low,Water
Bus service is irregular,Transport
Garbage is not collected regularly,Sanitation
Route change not informed,Transport
Sadak par gaddhe hai,Roads
Frequent power cuts in my area,Electricity
Street damaged after rainfall,Roads
कचरा वेळेवर उचलला जात नाही,Sanitation
Mere area mein pani nahi aa raha,Water
कचरा वेळेवर उचलला जात नाही,Sanitation
Road has many potholes,Roads
Road has many potholes,Roads
Bus late chal rahi hai,Transport
Electricity voltage fluctuation problem,Electricity
Public transport overcrowded,Transport
माझ्या भागात पाणी पुरवठा बंद आहे,Water
बस सेवा उशिरा येते,Transport
No water supply in my area,Water
Frequent power cuts in my area,Electricity
Power outage since morning,Electricity
Water pressure is very low,Water
Road has many potholes,Roads
Government hospital lacks cleanliness,Healthcare
Waste overflowing near building,Sanitation
No water supply in my area,Water
Garbage is not collected regularly,Sanitation
Kachra uthane nahi aa rahe,Sanitation
Kachra uthane nahi aa rahe,Sanitation
Garbage is not collected regularly,Sanitation
Bus service is irregular,Transport
Street damaged after rainfall,Roads
रस्त्यावर खड्डे आहेत,Roads
Bus late chal rahi hai,Transport
रस्त्यावर खड्डे आहेत,Roads
Waste overflowing near building,Sanitation
Route change not informed,Transport
Bus service is irregular,Transport
Mere area mein pani nahi aa raha,Water
Mere area mein pani nahi aa raha,Water
Street cleaning not done properly,Sanitation
Road has many potholes,Roads
Bus service is irregular,Transport
Route change not informed,Transport
Bus service is irregular,Transport
कचरा वेळेवर उचलला जात नाही,Sanitation
Sadak par gaddhe hai,Roads
Street damaged after rainfall,Roads
बस सेवा उशिरा येते,Transport
Water pressure is very low,Water
Street damaged after rainfall,Roads
Sadak par gaddhe hai,Roads
Waste overflowing near building,Sanitation
Pipeline leakage near my house,Water
Road has many potholes,Roads
Street cleaning not done properly,Sanitation
Waste overflowing near building,Sanitation
No water supply in my area,Water
Water pressure is very low,Water
रुग्णालयात सुविधा नाही,Healthcare
Road repair work pending,Roads
Public transport overcrowded,Transport
Garbage is not collected regularly,Sanitation
Street cleaning not done properly,Sanitation
No water supply in my area,Water
Frequent power cuts in my area,Electricity
Frequent power cuts in my area,Electricity
Hospital staff is rude,Healthcare
Route change not informed,Transport
Kachra uthane nahi aa rahe,Sanitation
Government hospital lacks cleanliness,Healthcare
Public transport overcrowded,Transport
Sadak par gaddhe hai,Roads
Medical emergency response slow,Healthcare
Sadak par gaddhe hai,Roads
Street damaged after rainfall,Roads
Bus service is irregular,Transport
Government hospital lacks cleanliness,Healthcare
बस सेवा उशिरा येते,Transport
Street damaged after rainfall,Roads
Bus late chal rahi hai,Transport
Government hospital lacks cleanliness,Healthcare
Water pressure is very low,Water
Bijli bar bar ja rahi hai,Electricity
Road repair work pending,Roads
कचरा वेळेवर उचलला जात नाही,Sanitation
Bus service is irregular,Transport
Bijli bar bar ja rahi hai,Electricity
Bus service is irregular,Transport
Kachra uthane nahi aa rahe,Sanitation
माझ्या भागात पाणी पुरवठा बंद आहे,Water
Bus late chal rahi hai,Transport
Bijli bar bar ja rahi hai,Electricity
कचरा वेळेवर उचलला जात नाही,Sanitation
Government hospital lacks cleanliness,Healthcare
Pipeline leakage near my house,Water
Sadak par gaddhe hai,Roads
माझ्या भागात पाणी पुरवठा बंद आहे,Water
Waste overflowing near building,Sanitation
रस्त्यावर खड्डे आहेत,Roads
Bus service is irregular,Transport
रुग्णालयात सुविधा नाही,Healthcare
माझ्या भागात पाणी पुरवठा बंद आहे,Water
Route change not informed,Transport
Power outage since morning,Electricity
रुग्णालयात सुविधा नाही,Healthcare
Mere area mein pani nahi aa raha,Water
No water supply in my area,Water
Bus service is irregular,Transport
Power outage since morning,Electricity
Route change not informed,Transport
Hospital staff is rude,Healthcare
माझ्या भागात वीज नाही,Electricity
Bus late chal rahi hai,Transport
Street damaged after rainfall,Roads
Bijli bar bar ja rahi hai,Electricity
Power outage since morning,Electricity
Sadak par gaddhe hai,Roads
Bijli bar bar ja rahi hai,Electricity
Street cleaning not done properly,Sanitation
Government hospital lacks cleanliness,Healthcare
माझ्या भागात वीज नाही,Electricity
Route change not informed,Transport
रुग्णालयात सुविधा नाही,Healthcare
Kachra uthane nahi aa rahe,Sanitation
कचरा वेळेवर उचलला जात नाही,Sanitation
माझ्या भागात वीज नाही,Electricity
Road repair work pending,Roads
Bus late chal rahi hai,Transport
Electricity voltage fluctuation problem,Electricity
माझ्या भागात वीज नाही,Electricity
Street cleaning not done properly,Sanitation
Bus late chal rahi hai,Transport
Pipeline leakage near my house,Water
Frequent power cuts in my area,Electricity
Road has many potholes,Roads
